2017/12/02 14:28:33.56: internet is not connected
2017/12/02 14:28:33.57: internet is not connected
2017/12/02 14:28:33.58: internet is not connected
2017/12/02 14:28:33.58: internet is not connected
2017/12/02 14:28:33.59: internet is not connected
2017/12/02 14:28:33.60: internet is not connected
2017/12/02 14:28:33.60: internet is not connected
2017/12/02 14:28:33.61: internet is not connected
2017/12/02 14:28:33.62: internet is not connected
2017/12/02 14:28:33.62: internet is not connected
2017/12/02 14:28:33.63: internet is not connected
2017/12/02 14:28:33.64: internet is not connected
2017/12/02 14:28:33.64: internet is not connected
2017/12/02 14:28:33.65: internet is not connected
2017/12/02 14:28:33.65: internet is not connected
2017/12/02 14:28:33.66: internet is not connected
2017/12/02 14:28:33.67: internet is not connected
2017/12/02 14:28:33.67: internet is not connected
2017/12/02 14:28:33.68: internet is not connected
2017/12/02 14:28:33.69: internet is not connected
2017/12/02 14:28:33.69: internet is not connected
2017/12/02 14:28:33.70: internet is not connected
2017/12/02 14:28:33.71: internet is not connected
2017/12/02 14:28:33.71: internet is not connected
2017/12/02 14:28:33.72: internet is not connected
2017/12/02 14:28:33.72: internet is not connected
2017/12/02 14:28:33.73: internet is not connected
2017/12/02 14:28:33.74: internet is not connected
2017/12/02 14:28:33.74: internet is not connected
2017/12/02 14:28:33.75: internet is not connected
2017/12/02 14:28:33.76: internet is not connected
2017/12/02 14:28:33.76: internet is not connected
2017/12/02 14:28:33.77: internet is not connected
2017/12/02 14:28:33.77: internet is not connected
2017/12/02 14:28:33.78: internet is not connected
2017/12/02 14:28:33.79: internet is not connected
2017/12/02 14:28:33.80: internet is not connected
2017/12/02 14:28:33.80: internet is not connected
2017/12/02 14:28:33.81: internet is not connected
2017/12/02 14:28:33.81: internet is not connected
2017/12/02 14:28:33.82: internet is not connected
2017/12/02 14:28:33.83: internet is not connected
2017/12/02 14:28:33.83: internet is not connected
2017/12/02 14:28:33.84: internet is not connected
2017/12/02 14:28:33.85: internet is not connected
2017/12/02 14:28:33.85: internet is not connected
2017/12/02 14:28:33.86: internet is not connected
2017/12/02 14:28:33.87: internet is not connected
2017/12/02 14:28:33.87: internet is not connected
2017/12/02 14:28:33.88: internet is not connected
2017/12/02 14:28:33.89: internet is not connected
2017/12/02 14:28:33.89: internet is not connected
2017/12/02 14:28:33.90: internet is not connected
2017/12/02 14:28:33.90: internet is not connected
2017/12/02 14:28:33.91: internet is not connected
2017/12/02 14:28:33.92: internet is not connected
2017/12/02 14:28:33.92: internet is not connected
2017/12/02 14:28:33.93: internet is not connected
2017/12/02 14:28:33.94: internet is not connected
2017/12/02 14:28:33.94: internet is not connected
2017/12/02 14:28:33.95: internet is not connected
2017/12/02 14:28:33.95: internet is not connected
2017/12/02 14:28:33.96: internet is not connected
2017/12/02 14:28:33.97: internet is not connected
2017/12/02 14:28:33.97: internet is not connected
2017/12/02 14:28:33.98: internet is not connected
2017/12/02 14:28:33.99: internet is not connected
2017/12/02 14:28:33.99: internet is not connected
2017/12/02 14:28:34.00: internet is not connected
2017/12/02 14:28:34.01: internet is not connected
2017/12/02 14:28:34.01: internet is not connected
2017/12/02 14:28:34.02: internet is not connected
2017/12/02 14:28:34.02: internet is not connected
2017/12/02 14:28:34.03: internet is not connected
2017/12/02 14:28:34.04: internet is not connected
2017/12/02 14:28:34.04: internet is not connected
2017/12/02 14:28:34.05: internet is not connected
2017/12/02 14:28:34.06: internet is not connected
2017/12/02 14:28:34.06: internet is not connected
2017/12/02 14:28:34.07: internet is not connected
2017/12/02 14:28:34.07: internet is not connected
2017/12/02 14:28:34.08: internet is not connected
2017/12/02 14:28:34.09: internet is not connected
2017/12/02 14:28:34.09: internet is not connected
2017/12/02 14:28:34.10: internet is not connected
2017/12/02 14:28:34.11: internet is not connected
2017/12/02 14:28:34.11: internet is not connected
2017/12/02 14:28:34.12: internet is not connected
2017/12/02 14:28:34.12: internet is not connected
2017/12/02 14:28:34.13: internet is not connected
2017/12/02 14:28:34.14: internet is not connected
2017/12/02 14:28:34.14: internet is not connected
2017/12/02 14:28:34.15: internet is not connected
2017/12/02 14:28:34.15: internet is not connected
2017/12/02 14:28:34.16: internet is not connected
2017/12/02 14:28:34.17: internet is not connected
2017/12/02 14:28:34.17: internet is not connected
2017/12/02 14:28:34.18: internet is not connected
2017/12/02 14:28:34.19: internet is not connected
2017/12/02 14:28:34.19: internet is not connected
2017/12/02 14:28:34.20: internet is not connected
2017/12/02 14:28:34.20: internet is not connected
2017/12/02 14:28:34.21: internet is not connected
